source_idx,domain,verdict,reason,exp_goal,quoted_title,doi,resolved_title,container,year,type,match,quality
240,culture,unverifiable,extract_failed,"When performing the MoFe protein buffer exchange in the MST protocol, what are the exact steps required to equilibrate the desalting column with the MOPS-(SPr)₂V• buffer before loading the protein? Please provide the experimental protocol to solve this problem.",,,,,,,,
241,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'wells'","During the BCA assay for MoFe protein quantification, what are the specific steps required to prepare and incubate the protein and BSA standards with the working reagent? Please provide the experimental protocol to solve this problem.",,,,,,,,
242,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'Wells'","What are the major stages of the improved Boyden Chamber invasion assay workflow, from initial cell preparation through final absorbance readout, as described in the protocol for ""An Experimental Protocol for the Boyden Chamber Invasion Assay With Absorbance Readout""? Please provide the experimental",An Experimental Protocol for the Boyden Chamber Invasion Assay With Absorbance Readout,10.21769/bioprotoc.5040,An Experimental Protocol for the Boyden Chamber Invasion Assay With Absorbance Readout,BIO-PROTOCOL,2024,journal-article,1.0,high
243,culture,unverifiable,no_culture_raw,"For researchers aiming to understand the structure of the Boyden Chamber invasion assay workflow, what are the key steps on Day 1 of the assay, from preparing cells through chamber loading, according to the improved absorbance-based protocol? Please provide the experimental protocol to solve this pr",,,,,,,,
247,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'dishes'","If a researcher wants only a concise overview of the sample preparation phase in this GA-AGE slot blot protocol, what are the essential steps from removing culture medium up to obtaining cell lysates? Please provide the experimental protocol to solve this problem.",,,,,,,,
248,culture,unverifiable,no_culture_raw,"In the ""Slot Blot Analysis of Intracellular Glyceraldehyde-Derived Advanced Glycation End Products Using a Novel Lysis Buffer and Polyvinylidene Difluoride Membrane"" protocol, what are the precise steps required for preparing the PVDF membrane and filter papers before they are assembled into the slo",Slot Blot Analysis of Intracellular Glyceraldehyde-Derived Advanced Glycation End Products Using a Novel Lysis Buffer and Polyvinylidene Difluoride Membrane,10.21769/bioprotoc.5038,Slot Blot Analysis of Intracellular Glyceraldehyde-Derived Advanced Glycation End Products Using a Novel Lysis Buffer and Polyvinylidene Difluoride Membrane,BIO-PROTOCOL,2024,journal-article,1.0,high
250,culture,unverifiable,no_culture_raw,"In the ""Well Plate–Based Localized Electroporation Workflow for Rapid Optimization of Intracellular Delivery"" protocol, what are the exact steps involved in preparing the LEPDs for cell seeding during the surface treatment phase, starting from the addition of fibronectin until the final wash before ",Well Plate–Based Localized Electroporation Workflow for Rapid Optimization of Intracellular Delivery,10.21769/bioprotoc.5037,Well Plate–Based Localized Electroporation Workflow for Rapid Optimization of Intracellular Delivery,BIO-PROTOCOL,2024,journal-article,1.0,high
252,culture,unverifiable,no_culture_raw,"What are the major stages of the experimental workflow in the ""Characterizing ER Retention Defects of PDZ Binding Deficient Cx36 Mutants Using Confocal Microscopy"" protocol, from initial cell preparation to final analysis? Please provide the experimental protocol to solve this problem.",Characterizing ER Retention Defects of PDZ Binding Deficient Cx36 Mutants Using Confocal Microscopy,10.21769/bioprotoc.5034,Characterizing ER Retention Defects of PDZ Binding Deficient Cx36 Mutants Using Confocal Microscopy,BIO-PROTOCOL,2024,journal-article,1.0,high
253,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'W'","Focusing specifically on the stomatal aperture assay within the Arabidopsis guard cell protocol, what are the key stages from peel preparation to final data analysis? Please provide the experimental protocol to solve this problem.",,,,,,,,
262,culture,unverifiable,no_culture_raw,"In the mitochondria–ER isolation stage of the lipidomics protocol, what are the sequential phases from initial cell preparation to final organelle fraction collection? Please provide the experimental protocol to solve this problem.",,,,,,,,
266,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'WELL'","What are the major stages of the ""Imaging Assays to Detect DNA Damage in Trypanosome Parasites Using γH2A"" protocol, from culturing host cells and parasites through fixation, staining, and final imaging analysis? Please provide the experimental protocol to solve this problem.",Imaging Assays to Detect DNA Damage in Trypanosome Parasites Using γH2A,10.21769/bioprotoc.5026,Imaging Assays to Detect DNA Damage in Trypanosome Parasites Using &amp;gamma;H2A,BIO-PROTOCOL,2024,journal-article,0.934,high
267,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'WELL'","Within the intracellular T. cruzi workflow of the γH2A imaging assay, what are the major experimental phases a researcher should follow, from cell culture through compound treatment and immunofluorescence staining? Please provide the experimental protocol to solve this problem.",,,,,,,,
268,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'microplate'","In the ""Imaging Assays to Detect DNA Damage in Trypanosome Parasites Using γH2A"" protocol, what are the exact fixation and permeabilization steps that must be followed when preparing intracellular T. cruzi-infected Vero cells prior to antibody staining? Please provide the experimental protocol to so",Imaging Assays to Detect DNA Damage in Trypanosome Parasites Using γH2A,10.21769/bioprotoc.5026,Imaging Assays to Detect DNA Damage in Trypanosome Parasites Using &amp;gamma;H2A,BIO-PROTOCOL,2024,journal-article,0.934,high
270,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'microplate'","For a researcher aiming to reproduce the Cyto-ID imaging assay in human fibroblasts, what are the key phases of the staining and imaging workflow, starting immediately after treatment and ending with quantitative imaging acquisition? Please provide the experimental protocol to solve this problem.",,,,,,,,
272,culture,unverifiable,no_culture_raw,"In the fixation and permeabilization phase of the retinal cell flow cytometry protocol, what are the sequential processing steps applied to the cells before antibody staining? Please provide the experimental protocol to solve this problem.",,,,,,,,
273,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got 'WELL'","In the ""Quantification of Proliferating and Mitotically Active Retinal Cells in Mice by Flow Cytometry"" protocol, what are the exact steps for the fixation of dissociated retinal cells, including the solution used, incubation conditions, and centrifugation parameters? Please provide the experimental",Quantification of Proliferating and Mitotically Active Retinal Cells in Mice by Flow Cytometry,10.21769/bioprotoc.5024,Quantification of Proliferating and Mitotically Active Retinal Cells in Mice by Flow Cytometry,BIO-PROTOCOL,2024,journal-article,1.0,high
280,culture,unverifiable,no_derived_claims,"What are the major experimental phases in the ""A Flow Cytometry–Based Method for Assessing CAR Cell Binding Kinetics Using Stable CAR Jurkat Cells"" protocol, from initial cell preparation through flow cytometry analysis? Please provide the experimental protocol to solve this problem.",A Flow Cytometry–Based Method for Assessing CAR Cell Binding Kinetics Using Stable CAR Jurkat Cells,10.21769/bioprotoc.5021,A Flow Cytometry–Based Method for Assessing CAR Cell Binding Kinetics Using Stable CAR Jurkat Cells,BIO-PROTOCOL,2024,journal-article,1.0,high
283,culture,unverifiable,"validation_error: plate_format must be one of 6/12/24/48/96-well, got '2-well'","When performing the ""Cell Combination and Vortexing"" step in the bone marrow nonhematopoietic cell isolation protocol, how should the researcher combine and process the lysed cell suspensions before proceeding to centrifugation? Please provide the experimental protocol to solve this problem.",Cell Combination and Vortexing,10.1021/acs.langmuir.9b00865.s003,Dynamical Clustering and Band Formation of Particles in a Marangoni Vortexing Droplet,,,component,0.417,none
